Sochi,Rosja,95,106, 7.00, 8.00, 110.5, -50, 93, 0.194, 0.25, 0.16
Villach,Austria, 90, 98, 7.00, 8.00, 104.5, -50, 94, 0.2, 0.24, 0.14
Otepaeae,Estonia, 90, 97, 7.00, 8.00, 103.5, -50, 94, 0.2, 0.24, 0.14
Ljubno,Slowenia, 85, 94, 7.00, 8.00, 99.5, -50, 94, 0.21, 0.262, 0.128
Chaux-Neuve,Francja, 106, 118, 6.84, 7.56, 123.5, -50, 91, 0.18, 0.26, 0.18
Zakopane,Polska,95,105, 7.00, 8.00, 113.5, -50, 93, 0.19, 0.242, 0.167
Seefeld, Austria, 68, 75, 4.40, 6.4, 84, -50, 95, 0.15, 0.23, 0.10
Zakopane,Polska, 64, 70, 4.20, 6, 72, -50, 96.5, 0.131, 0.205, 0.074
Pjongczang,Korea Poudniowa, 60, 66, 4.20, 6, 72, -50, 96, 0.131, 0.20, 0.07
Kandersteg, Szwajcaria, 67, 74, 4.40, 6.4, 84, -50, 95, 0.15, 0.23, 0.102
Rasnov, Rumunia, 65, 71, 4.40, 6.4, 80, -50, 95, 0.15, 0.23, 0.102
Chaikovsky, Rosja, 65, 72, 4.40, 6.4, 80, -50, 95, 0.148, 0.229, 0.10
Bloongminton, USA, 70, 78, 4.40, 6.4, 85, -50, 95, 0.148, 0.231, 0.108
Oberstdorf, Niemcy, 56, 60, 4, 5.90, 67, -50, 96, 0.12, 0.19, 0.075
Zao,Japonia, 95, 105, 7.00, 8.00, 112, -50, 92, 0.18, 0.2343, 0.165
Rovaniemi,Finlandia, 90, 100, 7, 8, 105.5, -50, 94, 0.181, 0.25, 0.162
Oberstdorf,Niemcy, 200, 235, 8.64, 14.40, 246, -50, 84, 0.142, 0.247, 0.745
Lahti, Finlandia, 64, 70, 4.40, 6.4, 80, -50, 95, 0.15, 0.23, 0.102
Vorochota,Ukraina,95,106, 7.00, 8.00, 115, -50, 93, 0.19, 0.244, 0.165
Courchevel,Francja, 90, 96, 7.00, 8.00, 103, -50, 94, 0.2, 0.24, 0.14
Kandersteg,Szwajcaria, 95, 107, 7.00, 8.00, 116, -50, 91, 0.176, 0.238, 0.15
Park City,USA, 120, 134, 7.24, 10.80, 144, -50, 89, 0.14, 0.3, 0.3
Raubicze,Biaoru, 95, 106, 7.00, 8.00, 111, -50, 93, 0.199, 0.26, 0.16
Predazzo, Włochy, 120, 134, 7.13, 9.90, 144.5, -50, 88, 0.14, 0.285, 0.32
Predazzo, Włochy, 100, 109, 7.00, 8.00, 116, -50, 93, 0.196, 0.251, 0.168
Predazzo, Włochy, 60, 66, 4.40, 6.4, 80, -50, 95, 0.15, 0.228, 0.0995
Ałmaty,Kazachstan, 90, 100, 7.00, 8.00, 106.5, -50, 93, 0.18, 0.245, 0.164
Zhangjiakou, Chiny, 125, 142, 7.67, 10.8, 149, -50, 89, 0.135, 0.301, 0.305
Zhangjiakou, Chiny, 95, 106, 7.00, 8.00, 114, -50, 93, 0.197, 0.248, 0.172
Laiyuan, Chiny, 125, 142, 7.67, 10.8, 149, -50, 89, 0.135, 0.301, 0.305
Laiyuan, Chiny, 95, 106, 7.00, 8.00, 114, -50, 93, 0.197, 0.248, 0.172
Muju, Japonia, 90, 101, 7.00, 8.00, 107, -50, 93, 0.18, 0.2455, 0.1635
Örnsköldsvik, Islandia, 90, 100, 7.00, 8.00, 107, -50, 93, 0.18, 0.247, 0.162
Oberhof, Niemcy, 90, 100, 7.00, 8.00, 107, -50, 93, 0.18, 0.247, 0.1625
Autrans, Francja, 57, 64, 4.40, 6.4, 80, -50, 95, 0.15, 0.218, 0.09
Zakopane, Polska, 64, 70, 4.40, 6.4, 80, -50, 95, 0.15, 0.23, 0.1
Strebske Pleso, Słowacja, 90, 100, 7.00, 8.00, 107, -50, 93, 0.18, 0.247, 0.162
Rena, Norwegia, 98, 109, 7.00, 8.00, 114, -50, 93, 0.197, 0.252, 0.169
Steamboat Springs, USA, 68, 75, 4.40, 6.4, 85, -50, 95, 0.148, 0.231, 0.11
Planica, Słowenia, 56, 61, 4.40, 6.4, 80, -50, 95, 0.15, 0.216, 0.09
Mo i Rana,Norwegia, 105, 115, 7.20, 10.44, 123, -50, 91, 0.61, 0.237, 0.188
Jyvaskala, Finlandia, 100, 108, 7.00, 8.00, 115, -50, 93, 0.178, 0.26, 0.173
Garmisch-Partenkirchen, Niemcy, 80, 89, 4.80, 7.00, 97, -50, 94, 0.19, 0.243, 0.13
Nottoden, Norwegia, 90, 100, 7.00, 8.00, 107, -50, 93, 0.18, 0.247, 0.1625
Planica, Słowenia, 72, 80, 4.40, 6.4, 87, -50, 95, 0.148, 0.245, 0.12
Bischoschofen, Austria, 70, 78, 4.40, 6.4, 85, -50, 95, 0.15, 0.23, 0.10
Nayoro, Japonia, 65, 71, 4.40, 6.4, 80, -50, 95, 0.15, 0.23, 0.102
Predazzo, Włochy, 60, 66, 4.40, 6.4, 80, -50, 96, 0.154, 0.226, 0.1
Ałmaty, Kazachstan, 60, 66, 4.40, 6.4, 80, -50, 96, 0.154, 0.226, 0.1
Vikersund, Norwegia, 65, 72, 4.40, 6.4, 80, -50, 95, 0.15, 0.23, 0.102
