Planica,Slowenia, 95, 102, 7.00, 8.00, 108, -28, 93, 0.18, 0.253, 0.16
Soczi,Rosja, 125, 140, 7.56, 10.80, 148.5, -28, 89, 0.14, 0.312, 0.288
Kuusamo,Finlandia, 120, 142, 9.54, 11.70, 151, -28, 87, 0.12, 0.27, 0.325
Wisla,Polska, 120, 134, 7.24, 10.80, 144, -28, 89, 0.14, 0.3, 0.3
Engelberg,Szwajcaria, 125, 140, 7.56, 10.44, 149, -28, 89, 0.15, 0.308, 0.292
Oberstdorf,Niemcy, 120, 137, 7.56, 10.80, 146, -28, 88.5, 0.14, 0.297, 0.303
Innsbruck,Austria, 120, 128, 7.02, 9.90, 142, -28, 88.5, 0.144, 0.285, 0.308
Bischoschofen,Austria, 125, 142, 4.86, 10.8, 147.5, -28, 89.5, 0.15, 0.318, 0.286
Courchevel,Francja, 125, 135, 8.82, 12.60, 142.5, -28, 89, 0.145, 0.298, 0.298
Planica,Sˆowenia, 125, 138, 7.45, 9.90, 147, -28, 89, 0.149, 0.31, 0.29
Hakuba,Japonia, 120, 131, 8.82, 10.80, 142, -28, 88, 0.144, 0.3, 0.3
Hakuba,Japonia, 90, 100, 7.00, 8.00, 106.5, -28, 93, 0.19, 0.26, 0.152
Lillehammer,Norwegia, 90, 98, 7.00, 8.00, 107, -28, 93, 0.192, 0.256, 0.15
Lillehammer,Norwegia, 123, 140, 7.56, 9.90, 150, -28, 88, 0.13, 0.257, 0.315
Rasnov,Rumunia, 90, 97, 7.00, 8.00, 107, -28, 93, 0.16, 0.25, 0.125
Stams,Austria, 105, 115, 7.20, 10.44, 123.5, -28, 91, 0.2, 0.245, 0.175
Erzurum,Turcja, 95, 109, 7.00, 8.00, 116.5, -28, 92, 0.18, 0.24, 0.15
Lomnice nad Popelkou,Czechy, 70, 77, 4.40, 6.4, 85, -28, 95, 0.15, 0.23, 0.10
Paradiskullen,Szwecja, 90, 100, 7.00, 8.00, 106.5, -28, 93, 0.19, 0.26, 0.152
Whistler,Kanada, 95, 104, 7.00, 8.00, 111, -28, 93, 0.20, 0.263, 0.151
Lahti,Finlandia, 116, 130, 7.56, 9.90, 139.5, -28, 89, 0.14, 0.29, 0.3095
Eau Claire,USA, 85, 95, 7.00, 8.00, 101, -28, 94, 0.194, 0.26, 0.14
Iron Mountain,USA, 120, 133, 7.26, 9.90, 145, -28, 89, 0.129, 0.27, 0.33
Titisee-Neudstadt,Niemcy, 125, 142, 7.67, 10.8, 150, -28, 89, 0.13, 0.292, 0.319
Zhangkjiakou,Chiny, 95, 106, 7.00, 8.00, 112, -28, 93, 0.198, 0.26, 0.16
Schuchinsk,Kazachstan, 125, 140, 7.67, 10.8, 154, -28, 89, 0.12, 0.272, 0.337
Pyeongchang,Korea Poludniowa, 125, 142, 7.67, 10.8, 149, -28, 89, 0.135, 0.301, 0.305
Pyeongchang,Korea Poludniowa, 98, 109, 7.00, 8.00, 114, -28, 93, 0.197, 0.258, 0.164
Vikersund,Norwegia, 200, 240, 8.64, 14.40, 247.5, -28, 82, 0.12, 0.224, 0.749
Planica,Slowenia, 200, 240, 8.64, 14.40, 252.5, -28, 82, 0.095, 0.23, 0.74
Kulm,Austria, 200, 235, 8.46, 14.40, 245.5, -28, 83, 0.112, 0.231, 0.736
Oberstdorf,Niemcy, 200, 235, 8.46, 14.40, 244, -28, 83, 0.12, 0.238, 0.724
Sydney,Australia, 200, 220, 8.46, 14.40, 255, -28, 82, 0.10, 0.18, 0.8
Chaikovsky,Rosja, 95, 102, 7.00, 8.00, 110, -28, 93, 0.199, 0.258, 0.144
Chaikovsky,Rosja, 125, 140, 7.56, 10.8, 150, -28, 89, 0.13, 0.295, 0.31
Erzurum,Turcja, 125, 140, 7.56, 10.8, 149.5, -28, 89, 0.13, 0.295, 0.31
Sochi,Rosja,95,106, 7.00, 8.00, 110.5, -28, 93, 0.194, 0.25, 0.16
Villach,Austria, 90, 98, 7.00, 8.00, 104.5, -28, 94, 0.2, 0.24, 0.14
Otepaeae,Estonia, 90, 97, 7.00, 8.00, 103.5, -28, 94, 0.2, 0.24, 0.14
Ljubno,Slowenia, 85, 94, 7.00, 8.00, 99.5, -28, 94, 0.21, 0.262, 0.128
Chaux-Neuve,Francja, 106, 118, 6.84, 7.56, 123.5, -28, 91, 0.18, 0.26, 0.18
Zakopane,Polska,95,105, 7.00, 8.00, 113.5, -28, 93, 0.19, 0.242, 0.167
Seefeld, Austria, 68, 75, 4.40, 6.4, 84, -28, 95, 0.15, 0.23, 0.10
Zakopane,Polska, 65, 70, 4.20, 6, 72, -28, 96.5, 0.131, 0.205, 0.074
Pjongczang,Korea Poˆudniowa, 60, 66, 4.20, 6, 72, -28, 96, 0.131, 0.20, 0.07
Kandersteg, Szwajcaria, 67, 74, 4.40, 6.4, 84, -28, 95, 0.15, 0.23, 0.102
Rasnov, Rumunia, 65, 72, 4.40, 6.4, 80, -28, 95, 0.15, 0.23, 0.102
Chaikovsky, Rosja, 65, 72, 4.40, 6.4, 80, -28, 95, 0.148, 0.229, 0.10
Bloongminton, USA, 70, 78, 4.40, 6.4, 85, -28, 95, 0.148, 0.231, 0.108
Oberstdorf, Niemcy, 56, 60, 4, 5.90, 67, -28, 96, 0.12, 0.19, 0.075
Zao,Japonia, 95, 102, 7.00, 8.00, 111, -28, 92, 0.18, 0.234, 0.16
Rovaniemi,Finlandia, 90, 100, 7, 8, 105.5, -28, 94, 0.181, 0.25, 0.162
Oberstdorf,Niemcy, 200, 235, 8.64, 14.40, 246, -28, 84, 0.142, 0.247, 0.745
Lahti, Finlandia, 64, 70, 4.40, 6.4, 80, -28, 95, 0.15, 0.23, 0.102
Vorochota,Ukraina,95,106, 7.00, 8.00, 115, -28, 93, 0.19, 0.244, 0.165
Courchevel,Francja, 90, 96, 7.00, 8.00, 103, -28, 94, 0.2, 0.24, 0.14
Kandersteg,Szwajcaria, 95, 107, 7.00, 8.00, 116, -28, 91, 0.176, 0.238, 0.15
Park City,USA, 120, 134, 7.24, 10.80, 144, -28, 89, 0.14, 0.3, 0.3
Raubicze,Biaˆoru˜, 95, 106, 7.00, 8.00, 111, -28, 93, 0.199, 0.26, 0.16
